Date,JBCHEPHARM.NS,APLAPOLLO.NS,TRENT.NS,SOLARINDS.NS,KEI.NS,NAVINFLUOR.NS,UNOMINDA.NS,DEEPAKNTR.NS,RADICO.NS,KPRMILL.NS,MARKET
01-10-2021,809.2210693,791.954834,999.348877,2467.744141,907.4824829,3298.704834,386.6116333,2207.759766,1111.433716,443.1060181,15086.9
01-11-2021,790.1976929,914.5935669,1010.556213,2745.967529,1098.162842,3696.517822,448.3716125,2097.93335,1114.462524,518.9011841,14648.35
01-12-2021,858.1894531,989.6218872,1060.964478,2402.752686,1160.927612,4144.905273,605.9001465,2464.977539,1227.517456,658.8267822,14996.2
01-01-2022,839.3833008,855.5012817,1027.641357,2290.778809,1069.637573,3893.35083,545.6984253,2208.897949,1068.336792,660.2540894,14921.45
01-02-2022,778.5765991,841.5449219,1103.901123,2294.896484,982.0748291,3850.451904,454.5550232,1978.80249,887.5581055,622.5041504,14307.95
01-03-2022,763.4381104,905.2892456,1271.403687,2774.791992,1256.167114,4039.71167,461.4111023,2221.023926,881.7490234,612.8082886,14894.5
01-04-2022,833.2426147,1012.882629,1224.454956,2739.468262,1202.573242,3890.876953,452.7005615,2303.034912,893.5658569,620.338562,14783.35
01-05-2022,788.0393677,927.6591797,1120.440186,2599.761475,1231.561646,3883.603516,456.4619141,1976.773193,798.7824707,618.5175781,14119.6
01-06-2022,762.3474731,841.2974243,1071.837646,2731.988525,1148.13269,3613.593018,456.8826294,1718.812744,866.4069214,507.5811157,13387.55
01-07-2022,858.0619507,946.0203247,1265.869019,2728.804199,1233.255127,4337.727051,504.7967529,1899.959229,934.1802979,579.1434326,14665.65
01-08-2022,864.1213379,937.8048096,1404.220581,3315.744141,1466.358398,4236.693359,574.6878662,1966.585938,1039.588989,595.0407715,15325.05
01-09-2022,934.7478638,1027.482666,1416.943115,3897.807861,1439.760742,4451.182129,555.8480835,2023.177246,1037.503784,527.7509766,14829.35
01-10-2022,960.894165,1071.61438,1524.61084,3882.930664,1609.009399,4511.543457,533.5783691,2299.376465,1037.453979,543.4063721,15424
01-11-2022,982.6585083,1112.832275,1468.481934,3858.947021,1521.446411,4304.092285,546.9501343,2161.848389,1054.880249,548.5262451,15946.15
01-12-2022,946.7741089,1084.575806,1348.440918,4363.289551,1459.086304,4037.743652,518.1685181,1972.796631,1008.128357,508.7973022,15448.85
01-01-2023,994.6849976,1135.874512,1194.024048,3982.893311,1609.457764,3915.596924,485.1615906,1868.209351,1122.593262,520.6618042,14935.5
01-02-2023,943.9501343,1181.164551,1275.39856,3900.843018,1619.020996,4096.138184,503.9019775,1787.818848,1156.200806,566.6923218,14518.75
01-03-2023,966.4624023,1197.155029,1371.990112,3774.110596,1695.187256,4237.534668,478.6682434,1830.995117,1189.55957,571.1581421,14557.85
01-04-2023,1041.526123,1186.925171,1364.805542,3805.258789,1891.18689,4812.647461,518.6734009,1876.307983,1122.493652,593.7337646,15219.55
01-05-2023,1029.129639,1127.581299,1557.090698,3734.205078,1993.078857,4628.980469,553.0061035,2060.739014,1163.669189,566.9591064,15766.4
01-06-2023,1157.471069,1296.425659,1762.94043,3722.163818,2310.879883,4467.143555,578.9795532,2160.05957,1203.500488,656.6194458,16430
01-07-2023,1223.072388,1583.113159,1755.895264,3797.735107,2424.597412,4231.72998,592.2648315,1998.036499,1444.678589,632.4630127,17059
01-08-2023,1353.834595,1664.307251,2047.195557,4834.716309,2701.980713,4583.087891,599.2807007,2214.297607,1256.376465,750.7716064,16924.3
01-09-2023,1464.786987,1613.952026,2078.723633,4816.430176,2647.79126,3748.898926,597.5404663,2115.003418,1198.770386,746.3613281,17292.6
01-10-2023,1381.916504,1559.310669,2153.222656,5496.42627,2397.502441,3422.001221,580.84375,1981.646851,1214.776855,797.8465576,16801.1
01-11-2023,1433.951538,1681.192383,2785.089111,6284.242188,2874.677979,3683.609131,671.1053467,2190.459229,1503.671997,856.4672852,17987.95
01-12-2023,1605.671875,1530.919678,3052.855469,6722.51709,3242.825928,3840.328369,685.4594727,2474.82666,1655.356812,817.4197998,19429.15
01-01-2024,1664.279175,1497.597534,3084.833496,6452.567383,3186.591064,3406.08374,687.9016113,2299.977051,1660.996948,783.079834,19802.1
01-02-2024,1543.605469,1541.62854,3879.138672,6725.265137,3204.204834,3011.008057,667.4669189,2207.16626,1567.061157,762.3173218,20090.05
01-03-2024,1636.529419,1490.22583,3945.293213,8775.246094,3452.747314,3103.896484,683.28125,2120.040527,1724.735474,827.7747192,20255.15
01-04-2024,1889.237427,1551.291382,4406.876465,8961.507813,3991.842773,3407.827881,736.4169922,2424.306885,1754.034302,842.093811,20997.2
01-05-2024,1757.008301,1499.141724,4556.023926,9363.55957,4095.944336,3176.752441,848.4262695,2185.671387,1573.74939,765.4268799,21103.3
01-06-2024,1739.903198,1549.348877,5479.850098,10013.37793,4415.743652,3562.310059,1089.707642,2495.523438,1783.333008,877.1955566,22559.7
01-07-2024,1908.424805,1479.815918,5839,10775.41406,4325.77832,3788.252686,1040.208618,3084.357178,1720.49292,865.0144043,23530.8
01-08-2024,1937.379395,1456.505371,7158.75,10729,4605.464844,3293.682373,1173.007568,2911.050049,1942.050049,844.5101929,23734.55
01-09-2024,1865.714844,1578.088501,7574.649902,11529.84961,4293.258789,3436.427979,1100.8125,2907.100098,2045.449951,951.4203491,24245.2
01-10-2024,1951.338745,1520.449951,7128.350098,10230,4047.939697,3325.087402,982.5524292,2636.300049,2379,931.8734131,22689.35
01-11-2024,1726.706665,1516.400024,6795.399902,10681.2002,4309.193848,3502.882568,1050.450806,2727.25,2457.850098,976.1532593,22687
01-12-2024,1835.0177,1568.25,7123.350098,9783.299805,4432.477539,3245.800049,1052.399292,2494.300049,2605.899902,991.5116577,22375.4
01-01-2025,1755.165039,1509.550049,5753.200195,10194.65039,4019.816406,4148.700195,944.8811035,2325.600098,2178.399902,929.4798584,21580.9
01-02-2025,1636.207031,1438.949951,4851.549805,8710.599609,3070.149902,3762.25,825.2721558,1851.300049,2073.050049,799.4324341,19880.9
01-03-2025,1623.199951,1525.25,5325.149902,11244,2892.850098,4210.850098,875.5,1983.599976,2428.949951,906.5,21339.55
01-04-2025,1566.349976,1521.050049,4782.799805,11291.75,2611,4099.850098,822.6500244,1878.150024,2369.800049,964.0499878,20752.85
